target,browser,player,codec,platform,user,data_points,mean,stdev,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10
codec,CHROME,MPLAYER,*,Windows11,*,400,55.75,5.6236109396009955,56.25,55.00000000000001,58.75,46.25,58.75,45.0,63.74999999999999,58.75,55.00000000000001,60.0
codec,CHROME,MPV,*,Windows11,*,400,67.5,6.224949798994365,70.0,72.5,70.0,63.74999999999999,55.00000000000001,58.75,67.5,76.25,68.75,72.5
codec,CHROME,VLC,*,Windows11,*,400,66.625,4.0716243687255815,60.0,68.75,66.25,70.0,61.25000000000001,62.5,68.75,68.75,66.25,73.75
codec,EDGE,MPLAYER,*,Windows11,*,400,68.875,3.2331292890943892,70.0,70.0,70.0,71.25,65.0,61.25000000000001,70.0,67.5,71.25,72.5
codec,EDGE,MPV,*,Windows11,*,400,89.75,2.0766559657295187,91.25,90.0,92.5,92.5,90.0,86.25,88.75,87.5,87.5,91.25
codec,EDGE,VLC,*,Windows11,*,400,73.5,4.670385423067351,72.5,68.75,72.5,73.75,72.5,81.25,66.25,81.25,70.0,76.25
codec,FIREFOX,MPLAYER,*,Windows11,*,400,49.25,6.077622890571608,41.25,57.49999999999999,56.25,42.5,51.24999999999999,55.00000000000001,40.0,52.5,46.25,50.0
codec,FIREFOX,MPV,*,Windows11,*,400,45.25,7.369701486491839,38.75,50.0,43.75,41.25,48.75,32.5,41.25,61.25000000000001,46.25,48.75
codec,FIREFOX,VLC,*,Windows11,*,400,61.125,5.345851195085775,57.49999999999999,60.0,67.5,65.0,60.0,52.5,53.75,60.0,68.75,66.25
codec,CHROME,MPLAYER,*,Linux,*,400,54.125,4.938686566284602,52.5,56.25,55.00000000000001,62.5,43.75,53.75,58.75,50.0,51.24999999999999,57.49999999999999
codec,CHROME,MPV,*,Linux,*,400,50.5,5.099019513592785,48.75,51.24999999999999,55.00000000000001,40.0,51.24999999999999,58.75,56.25,48.75,48.75,46.25
codec,CHROME,VLC,*,Linux,*,400,71.375,5.045109017652642,77.5,65.0,75.0,70.0,80.0,72.5,66.25,63.74999999999999,71.25,72.5
codec,EDGE,MPLAYER,*,Linux,*,400,48.375,5.837647214417809,46.25,50.0,48.75,52.5,36.25,41.25,51.24999999999999,55.00000000000001,46.25,56.25
codec,EDGE,MPV,*,Linux,*,400,46.375,3.642200571083366,51.24999999999999,48.75,42.5,43.75,47.5,45.0,47.5,48.75,38.75,50.0
codec,EDGE,VLC,*,Linux,*,400,70.125,4.625000000000001,70.0,66.25,68.75,76.25,72.5,67.5,63.74999999999999,67.5,80.0,68.75
codec,FIREFOX,MPLAYER,*,Linux,*,400,32.0,4.227883631321942,36.25,41.25,28.749999999999996,30.0,27.500000000000004,31.25,31.25,28.749999999999996,36.25,28.749999999999996
codec,FIREFOX,MPV,*,Linux,*,400,32.25,3.2015621187164243,36.25,31.25,33.75,30.0,37.5,33.75,33.75,30.0,26.25,30.0
codec,FIREFOX,VLC,*,Linux,*,400,52.75,5.326818938165628,45.0,57.49999999999999,57.49999999999999,50.0,47.5,62.5,53.75,55.00000000000001,46.25,52.5
codec,CHROME,MPLAYER,*,dLinux,*,400,80.375,3.9151149408414563,82.5,83.75,85.0,82.5,72.5,80.0,81.25,80.0,82.5,73.75
codec,CHROME,MPV,*,dLinux,*,400,81.25,3.010398644698074,81.25,80.0,76.25,87.5,81.25,82.5,80.0,82.5,77.5,83.75
codec,CHROME,VLC,*,dLinux,*,400,93.125,1.956559480312316,93.75,92.5,92.5,93.75,93.75,96.25,95.0,91.25,93.75,88.75
codec,EDGE,MPLAYER,*,dLinux,*,400,74.125,4.938686566284603,80.0,73.75,66.25,80.0,73.75,68.75,76.25,67.5,80.0,75.0
codec,EDGE,MPV,*,dLinux,*,400,67.0,6.7592529172978875,66.25,60.0,75.0,76.25,65.0,63.74999999999999,66.25,75.0,68.75,53.75
codec,EDGE,VLC,*,dLinux,*,400,92.5,2.3048861143232218,93.75,91.25,95.0,90.0,96.25,88.75,95.0,91.25,92.5,91.25
codec,FIREFOX,MPLAYER,*,dLinux,*,400,44.5,6.6661458129866915,41.25,41.25,48.75,41.25,35.0,56.25,40.0,56.25,42.5,42.5
codec,FIREFOX,MPV,*,dLinux,*,400,51.0,5.695392874947258,51.24999999999999,63.74999999999999,53.75,48.75,52.5,40.0,46.25,50.0,51.24999999999999,52.5
codec,FIREFOX,VLC,*,dLinux,*,400,90.0,3.7914377220257753,93.75,95.0,92.5,83.75,90.0,87.5,95.0,86.25,90.0,86.25
codec,CHROME,MPLAYER,*,macOS,*,400,55.75,5.159941860137574,57.49999999999999,56.25,66.25,58.75,53.75,47.5,52.5,52.5,51.24999999999999,61.25000000000001
codec,CHROME,MPV,*,macOS,*,400,49.875,4.59109191805174,41.25,48.75,46.25,45.0,56.25,53.75,50.0,55.00000000000001,48.75,53.75
codec,CHROME,VLC,*,macOS,*,400,72.5,3.6228441865473595,67.5,72.5,71.25,72.5,73.75,73.75,67.5,80.0,76.25,70.0
codec,FIREFOX,MPLAYER,*,macOS,*,400,39.0,4.100304866714182,36.25,40.0,42.5,42.5,35.0,32.5,45.0,40.0,42.5,33.75
codec,FIREFOX,MPV,*,macOS,*,400,27.125,2.907425837403252,26.25,30.0,23.75,26.25,32.5,30.0,27.500000000000004,27.500000000000004,25.0,22.5
codec,FIREFOX,VLC,*,macOS,*,400,30.25,5.4715171570598224,26.25,32.5,28.749999999999996,36.25,21.25,38.75,31.25,36.25,23.75,27.500000000000004
codec,SAFARI,MPLAYER,*,macOS,*,400,47.25,3.9051248379533288,50.0,45.0,45.0,50.0,42.5,55.00000000000001,46.25,41.25,50.0,47.5
codec,SAFARI,MPV,*,macOS,*,400,51.75,4.616546328154848,56.25,52.5,58.75,56.25,43.75,48.75,46.25,51.24999999999999,48.75,55.00000000000001
codec,SAFARI,VLC,*,macOS,*,400,73.875,4.237112814169573,72.5,77.5,73.75,81.25,72.5,80.0,67.5,72.5,72.5,68.75
player,SAFARI,*,sample.mkv,macOS,*,300,99.66666666666666,0.6666666666666686,100.0,100.0,98.33333333333333,100.0,100.0,100.0,100.0,100.0,98.33333333333333,100.0
player,FIREFOX,*,sample.mkv,macOS,*,300,80.33333333333334,4.396968652757639,83.33333333333334,75.0,85.0,85.0,81.66666666666667,71.66666666666667,80.0,85.0,80.0,76.66666666666667
player,CHROME,*,sample.mkv,macOS,*,300,98.83333333333334,1.3017082793177748,98.33333333333333,98.33333333333333,100.0,96.66666666666667,100.0,100.0,100.0,98.33333333333333,100.0,96.66666666666667
player,SAFARI,*,sample.mp4,macOS,*,300,98.0,1.4529663145135565,98.33333333333333,96.66666666666667,98.33333333333333,95.0,96.66666666666667,98.33333333333333,98.33333333333333,98.33333333333333,100.0,100.0
player,FIREFOX,*,sample.mp4,macOS,*,300,83.16666666666666,3.4520525295346633,75.0,85.0,80.0,85.0,86.66666666666667,81.66666666666667,85.0,86.66666666666667,85.0,81.66666666666667
player,CHROME,*,sample.mp4,macOS,*,300,98.83333333333334,1.067187372905475,98.33333333333333,100.0,100.0,98.33333333333333,100.0,98.33333333333333,98.33333333333333,96.66666666666667,100.0,98.33333333333333
player,SAFARI,*,sample.flv,macOS,*,300,99.16666666666667,1.1180339887498947,98.33333333333333,100.0,100.0,100.0,98.33333333333333,98.33333333333333,96.66666666666667,100.0,100.0,100.0
player,FIREFOX,*,sample.flv,macOS,*,300,84.49999999999999,4.890466917040401,88.33333333333333,85.0,88.33333333333333,76.66666666666667,90.0,85.0,88.33333333333333,75.0,86.66666666666667,81.66666666666667
player,CHROME,*,sample.flv,macOS,*,300,98.66666666666666,1.4529663145135585,95.0,98.33333333333333,100.0,100.0,98.33333333333333,98.33333333333333,98.33333333333333,98.33333333333333,100.0,100.0
player,SAFARI,*,sample.3gp,macOS,*,300,99.16666666666666,0.8333333333333357,100.0,98.33333333333333,100.0,98.33333333333333,100.0,98.33333333333333,100.0,98.33333333333333,98.33333333333333,100.0
player,FIREFOX,*,sample.3gp,macOS,*,300,81.66666666666666,4.714045207910315,80.0,88.33333333333333,75.0,88.33333333333333,83.33333333333334,85.0,76.66666666666667,78.33333333333333,76.66666666666667,85.0
player,CHROME,*,sample.3gp,macOS,*,300,97.66666666666666,2.260776661041756,98.33333333333333,98.33333333333333,95.0,95.0,100.0,100.0,95.0,100.0,100.0,95.0
player,FIREFOX,*,sample.mkv,dLinux,*,300,76.66666666666667,4.409585518440988,73.33333333333333,71.66666666666667,83.33333333333334,70.0,76.66666666666667,73.33333333333333,78.33333333333333,76.66666666666667,83.33333333333334,80.0
player,CHROME,*,sample.mkv,dLinux,*,300,83.33333333333334,4.714045207910316,83.33333333333334,76.66666666666667,85.0,86.66666666666667,81.66666666666667,85.0,76.66666666666667,90.0,90.0,78.33333333333333
